,Lat,Lng,City,CityClean,Country,Temperature,Latitude,Longitude,Percent Humidity,Percent Cloudiness,Wind Speed (mph)
61,23.263890177754476,161.00522732528935,Butaritari,butaritari,KI,83.03,3.07,172.79,76.0,100.0,15.35
62,-49.01506444449838,-78.45220018023619,Coihaique,coihaique,CL,56.17,-45.58,-72.07,58.0,0.0,4.7
64,-64.01755484550732,-97.216395313903,Punta Arenas,punta%20arenas,CL,50.95,-53.16,-70.91,66.0,20.0,26.4
65,75.61333593767282,-127.0340046241173,Tuktoyaktuk,tuktoyaktuk,CA,8.6,69.44,-133.03,78.0,75.0,14.99
68,32.21974833321464,19.380123314062075,Benghazi,benghazi,LY,63.59,32.12,20.07,58.0,0.0,19.26
69,-26.33890018657037,-178.08417872421074,Vaini,vaini,IN,75.2,15.34,74.49,83.0,11.0,3.36
70,56.769545948557436,50.49014186978576,Malmyzh,malmyzh,RU,32.27,56.52,50.68,82.0,0.0,4.16
71,-14.428269629023347,21.25631495016691,Kalabo,kalabo,ZM,74.21,-15.0,22.67,62.0,65.0,4.63
72,-28.79999386928717,159.6768927414832,Byron Bay,byron%20bay,AU,67.73,-28.65,153.62,100.0,75.0,3.94
73,-35.6135507059257,18.102606185948844,Hermanus,hermanus,ZA,60.01,-34.42,19.24,98.0,81.0,1.99
74,30.688209243003413,-64.63303155698938,Hamilton,hamilton,CA,45.23,43.26,-79.87,100.0,90.0,17.22
75,-13.856276828983297,-48.44958111197943,Niquelandia,niquelandia,BR,86.09,-14.47,-48.46,57.0,30.0,2.26
76,-66.27051235428863,134.59740966807811,New Norfolk,new%20norfolk,AU,42.67,-42.78,147.06,93.0,0.0,5.82
78,-39.97500430871164,-58.26837906974926,Necochea,necochea,AR,66.0,-38.55,-58.74,61.0,0.0,5.01
80,34.42358621209719,134.62445779438747,Naruto,naruto,JP,49.84,34.18,134.62,66.0,40.0,8.05
81,78.47907061410771,135.91830221079738,nizhneyansk,nizhneyansk,,,,,,,
82,57.445145519931486,-70.44777960518297,Iqaluit,iqaluit,CA,26.31,63.75,-68.52,86.0,90.0,17.22
86,-81.07976837448177,91.02216575531457,Busselton,busselton,AU,41.32,-33.64,115.35,97.0,73.0,25.28
87,-3.3268365609997375,-71.63240401418575,Puerto Narino,puerto%20narino,CO,87.8,-3.77,-70.38,79.0,40.0,3.36
89,64.18392900894,167.05131078428172,kamenskoye,kamenskoye,,,,,,,
90,-21.809955024125713,155.03596584566964,Bundaberg,bundaberg,AU,70.34,-24.87,152.35,94.0,90.0,8.05
92,25.120921551227013,95.4276438962234,Phek,phek,IN,71.33,25.7,94.46,59.0,41.0,3.58
93,58.7501782618279,-29.17461938296239,olafsvik,olafsvik,,,,,,,
94,11.555570900969144,-63.21459649745549,La Asuncion,la%20asuncion,EC,50.99,-1.64,-78.74,96.0,100.0,3.2
95,-29.69534189862648,162.7157288242642,Noumea,noumea,NC,71.6,-22.28,166.46,94.0,75.0,3.36
96,-17.730518649817995,65.11055611360226,Quatre Cocos,quatre%20cocos,MU,77.52,-20.21,57.76,83.0,40.0,5.82
97,-23.538346521605774,164.40099448962326,Moindou,moindou,NC,71.6,-21.69,165.68,94.0,75.0,3.36
99,40.63800109378383,-134.72166410546387,Eureka,eureka,US,57.58,40.8,-124.16,93.0,90.0,16.82
100,-24.198641540273442,-168.40883796013907,Alofi,alofi,NU,75.2,-19.06,-169.92,78.0,90.0,14.99
